MGI:MGI:1889817	replication initiator 1		GO:0022626		MGI	NCBITaxon:10090	IDA		PANTHER:PTHR24406	protein_coding_gene		PMID:20727851	20120618
MGI:MGI:1354367	mitchondrial ribosomal protein S7		GO:0005763		MGI	NCBITaxon:10090	ISO	UniProtKB:Q9Y2R9	PANTHER:PTHR11205	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20170106
MGI:MGI:1354367	mitchondrial ribosomal protein S7		GO:0005840		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000128889|RGD:3601|UniProtKB:Q3T040|SGD:S000003884|MGI:MGI:1097682|UniProtKB:P02359|UniProtKB:Q9Y2R9|UniProtKB:P46782|FB:FBgn0002590|SGD:S000003874	PANTHER:PTHR11205	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:1354367	mitchondrial ribosomal protein S7		GO:0005763		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000128970|UniProtKB:Q3T040|SGD:S000003874|UniProtKB:Q9Y2R9	PANTHER:PTHR11205	protein_coding_gene		GO_REF:0000033	20170228
MGI:MGI:1354367	mitchondrial ribosomal protein S7		GO:0005763		MGI	NCBITaxon:10090	ISA	EMBL:X76767	PANTHER:PTHR11205	protein_coding_gene		PMID:10581179	20010831
MGI:MGI:1201789	ribosomal protein L36A		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:1306640	PANTHER:PTHR10369	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:1201789	ribosomal protein L36A		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P83881	PANTHER:PTHR10369	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20180110
MGI:MGI:1201789	ribosomal protein L36A		GO:0022625		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR10369	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221219
MGI:MGI:1201789	ribosomal protein L36A		GO:0022625		ComplexPortal	NCBITaxon:10090	IPI		PANTHER:PTHR10369	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20230615
MGI:MGI:1201789	ribosomal protein L36A		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P83881	PANTHER:PTHR10369	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1201789	ribosomal protein L36A		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000042522|UniProtKB:O97231|SGD:S000005106|UniProtKB:P83881|MGI:MGI:1201789|SGD:S000001183|RGD:621156	PANTHER:PTHR10369	protein_coding_gene		GO_REF:0000033	20220413
MGI:MGI:1201789	ribosomal protein L36A		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR10369	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1201789	ribosomal protein L36A		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR10369	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:99262	ribosomal protein L22		GO:0005840		MGI	NCBITaxon:10090	ISO	RGD:621189	PANTHER:PTHR10064	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:99262	ribosomal protein L22		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:621189	PANTHER:PTHR10064	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:99262	ribosomal protein L22		GO:0022625		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR10064	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221219
MGI:MGI:99262	ribosomal protein L22		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P35268	PANTHER:PTHR10064	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20220429
MGI:MGI:99262	ribosomal protein L22		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P35268	PANTHER:PTHR10064	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:99262	ribosomal protein L22		GO:0005840		MGI	NCBITaxon:10090	ISS	UniProtKB:P67984	PANTHER:PTHR10064	protein_coding_gene		PMID:8135813	20090903
MGI:MGI:99262	ribosomal protein L22		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	IMP		PANTHER:PTHR10064	protein_coding_gene		PMID:27321671	20240306
MGI:MGI:99262	ribosomal protein L22		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098978"", ""label"": ""glutamatergic synapse""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""UBERON:0000966"", ""label"": ""retina""}}"	SynGO	NCBITaxon:10090	IMP		PANTHER:PTHR10064	protein_coding_gene		PMID:27321671	20240306
MGI:MGI:99262	ribosomal protein L22		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	IDA		PANTHER:PTHR10064	protein_coding_gene		PMID:27321671	20240306
MGI:MGI:99262	ribosomal protein L22		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098978"", ""label"": ""glutamatergic synapse""}}|{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""UBERON:0000966"", ""label"": ""retina""}}"	SynGO	NCBITaxon:10090	IDA		PANTHER:PTHR10064	protein_coding_gene		PMID:27321671	20240306
MGI:MGI:99262	ribosomal protein L22		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR10064	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1277151	synuclein, alpha		GO:0005840		MGI	NCBITaxon:10090	ISO	RGD:3729	PANTHER:PTHR13820	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20120308
MGI:MGI:1913371	coiled-coil-helix-coiled-coil-helix domain containing 1		GO:0005761		UniProt	NCBITaxon:10090	IEA	InterPro:IPR033620	PANTHER:PTHR31278	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1913371	coiled-coil-helix-coiled-coil-helix domain containing 1		GO:0005763		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR31278	protein_coding_gene		MGI:MGI:6867302|PMID:25838379	20200203
MGI:MGI:1913371	coiled-coil-helix-coiled-coil-helix domain containing 1		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR31278	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1913327	aurora kinase A interacting protein 1		GO:0005763		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR32035	protein_coding_gene		MGI:MGI:6867302|PMID:25838379	20200203
MGI:MGI:1913327	aurora kinase A interacting protein 1		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR32035	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1099460	RNA binding motif (RNP1, RRM) protein 3		GO:0015934		MGI	NCBITaxon:10090	ISO	RGD:620145	PANTHER:PTHR48034	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20091203
MGI:MGI:105110	ribosomal protein S2		GO:0015935		UniProt	NCBITaxon:10090	IEA	InterPro:IPR005711	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:105110	ribosomal protein S2		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P15880	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:105110	ribosomal protein S2		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P15880	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20090119
MGI:MGI:105110	ribosomal protein S2		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:105110	ribosomal protein S2		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:619887	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20070207
MGI:MGI:105110	ribosomal protein S2		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:105110	ribosomal protein S2		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000346706|SGD:S000003091|UniProtKB:P0A7W1|UniProtKB:P15880|RGD:619887|MGI:MGI:105110|UniProtKB:Q8IL02	PANTHER:PTHR13718	protein_coding_gene		GO_REF:0000033	20230406
MGI:MGI:105110	ribosomal protein S2		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR13718	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:1927099	ribosomal protein lateral stalk subunit P1		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:621774	PANTHER:PTHR45696	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160304
MGI:MGI:1927099	ribosomal protein lateral stalk subunit P1		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P05386	PANTHER:PTHR45696	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230615
MGI:MGI:1927099	ribosomal protein lateral stalk subunit P1		GO:0022625		ComplexPortal	NCBITaxon:10090	IPI		PANTHER:PTHR45696	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20230615
MGI:MGI:1927099	ribosomal protein lateral stalk subunit P1		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P05386	PANTHER:PTHR45696	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1927099	ribosomal protein lateral stalk subunit P1		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000474938|UniProtKB:P52855|SGD:S000002288|SGD:S000002239|UniProtKB:P05386|RGD:621774|MGI:MGI:1927099	PANTHER:PTHR45696	protein_coding_gene		GO_REF:0000033	20211218
MGI:MGI:1927099	ribosomal protein lateral stalk subunit P1		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR45696	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:102493	mitochondrially encoded 12S rRNA		GO:0005763		MGI	NCBITaxon:10090	TAS			rRNA_gene		PMID:7332926	20110208
MGI:MGI:102492	mitochondrially encoded 16S rRNA		GO:0005762		MGI	NCBITaxon:10090	TAS			rRNA_gene		PMID:7332926	20110208
MGI:MGI:94909	dystrophin, muscular dystrophy		GO:0005840		MGI	NCBITaxon:10090	ISO	RGD:2507	PANTHER:PTHR12268	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20170503
MGI:MGI:1342774	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha		GO:0022626		MGI	NCBITaxon:10090	ISO	RGD:620925	PANTHER:PTHR15528	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20150824
MGI:MGI:105381	ribosomal protein SA		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P08865	PANTHER:PTHR11489	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:105381	ribosomal protein SA		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:71026	PANTHER:PTHR11489	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20070227
MGI:MGI:105381	ribosomal protein SA		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11489	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:105381	ribosomal protein SA		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11489	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:105381	ribosomal protein SA		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P08865	PANTHER:PTHR11489	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20090119
MGI:MGI:105381	ribosomal protein SA		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000160708|UniProtKB:A0A143ZZG2|UniProtKB:Q4GWZ2|RGD:71026|SGD:S000004038|SGD:S000003446|UniProtKB:P08865|MGI:MGI:105381	PANTHER:PTHR11489	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:105381	ribosomal protein SA		GO:0015935		MGI	NCBITaxon:10090	IDA		PANTHER:PTHR11489	protein_coding_gene		PMID:2146686	20120307
MGI:MGI:105381	ribosomal protein SA		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11489	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:3826366	ribosomal protein lateral stalk subunit P2, pseudogene 1		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:621775	PANTHER:PTHR21141	pseudogene		MGI:MGI:4417868|GO_REF:0000096	20160304
MGI:MGI:3826366	ribosomal protein lateral stalk subunit P2, pseudogene 1		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P05387	PANTHER:PTHR21141	pseudogene		MGI:MGI:4834177|GO_REF:0000119	20230615
MGI:MGI:3648757	predicted pseudogene 6525		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000042522|UniProtKB:O97231|SGD:S000005106|UniProtKB:P83881|MGI:MGI:1201789|SGD:S000001183|RGD:621156	PANTHER:PTHR10369	protein_coding_gene		GO_REF:0000033	20220413
MGI:MGI:1913739	ribosomal protein L35		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:1303007	PANTHER:PTHR45722	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:1913739	ribosomal protein L35		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P42766	PANTHER:PTHR45722	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230615
MGI:MGI:1913739	ribosomal protein L35		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P42766	PANTHER:PTHR45722	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1913739	ribosomal protein L35		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000356124|SGD:S000002295|SGD:S000002350|UniProtKB:P42766|RGD:1303007	PANTHER:PTHR45722	protein_coding_gene		GO_REF:0000033	20200810
MGI:MGI:1913739	ribosomal protein L35		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR45722	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1913739	ribosomal protein L35		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR45722	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1913733	ribosomal protein L36A-like		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:1306640		protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:1913733	ribosomal protein L36A-like		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P83881		protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20180110
MGI:MGI:1913733	ribosomal protein L36A-like		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P83881		protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1913731	ribosomal protein S21		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P63220	PANTHER:PTHR10442	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1913731	ribosomal protein S21		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR10442	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:1913731	ribosomal protein S21		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P63220	PANTHER:PTHR10442	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20180104
MGI:MGI:1913731	ribosomal protein S21		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR10442	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:1913731	ribosomal protein S21		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:621038	PANTHER:PTHR10442	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080829
MGI:MGI:1913731	ribosomal protein S21		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000047682|RGD:621038|MGI:MGI:1913731|UniProtKB:P63220|UniProtKB:P63221|UniProtKB:Q8IHS5|SGD:S000001765|SGD:S000003672	PANTHER:PTHR10442	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:1913731	ribosomal protein S21		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR10442	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:1913730	ribosomal protein L15		GO:0022625		MGI	NCBITaxon:10090	ISO	RGD:621181	PANTHER:PTHR11847	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160217
MGI:MGI:1913730	ribosomal protein L15		GO:0022625		ComplexPortal	NCBITaxon:10090	IPI		PANTHER:PTHR11847	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20230615
MGI:MGI:1913730	ribosomal protein L15		GO:0022625		MGI	NCBITaxon:10090	ISO	UniProtKB:P61313	PANTHER:PTHR11847	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230615
MGI:MGI:1913730	ribosomal protein L15		GO:0022625		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11847	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221219
MGI:MGI:1913730	ribosomal protein L15		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P61313	PANTHER:PTHR11847	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1913730	ribosomal protein L15		GO:0022625		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000217960|UniProtKB:P61313|SGD:S000004728|MGI:MGI:1913730|RGD:621181|SGD:S000004019	PANTHER:PTHR11847	protein_coding_gene		GO_REF:0000033	20211216
MGI:MGI:1913730	ribosomal protein L15		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11847	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1913730	ribosomal protein L15		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098793"", ""label"": ""presynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11847	protein_coding_gene		PMID:25211037	20240306
MGI:MGI:1913725	ribosomal protein S23		GO:0015935		MGI	NCBITaxon:10090	ISO	RGD:621039	PANTHER:PTHR11652	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160325
MGI:MGI:1913725	ribosomal protein S23		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P62266	PANTHER:PTHR11652	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1913725	ribosomal protein S23		GO:0022627		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11652	protein_coding_gene		MGI:MGI:6810796|PMID:25901680	20230511
MGI:MGI:1913725	ribosomal protein S23		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:621039	PANTHER:PTHR11652	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20160325
MGI:MGI:1913725	ribosomal protein S23		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P62266	PANTHER:PTHR11652	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20180104
MGI:MGI:1913725	ribosomal protein S23		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11652	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:1913725	ribosomal protein S23		GO:0005840		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000182999|UniProtKB:O15235|UniProtKB:P0A7S3|SGD:S000005319|RGD:621039|MGI:MGI:1913725|UniProtKB:Q6SA96|SGD:S000006336|UniProtKB:P62266|UniProtKB:Q29RU1|SGD:S000003350|FB:FBgn0033912	PANTHER:PTHR11652	protein_coding_gene		GO_REF:0000033	20240205
MGI:MGI:1913725	ribosomal protein S23		GO:0022627		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000183001|RGD:621039|UniProtKB:P62266|SGD:S000003350|FB:FBgn0033912|UniProtKB:Q6SA96|MGI:MGI:1913725|SGD:S000006336	PANTHER:PTHR11652	protein_coding_gene		GO_REF:0000033	20230405
MGI:MGI:1913725	ribosomal protein S23		GO:0005840	"{""relationship"": {""relation"": [{""id"": ""BFO:0000050"", ""label"": ""part of""}], ""id"": ""GO:0098794"", ""label"": ""postsynapse""}}"	SynGO	NCBITaxon:10090	NAS		PANTHER:PTHR11652	protein_coding_gene		PMID:16452087	20240306
MGI:MGI:2670965	zinc finger protein 598		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:Q86UK7	PANTHER:PTHR22938	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230215
MGI:MGI:2660674	mitochondrial ribosomal protein L21		GO:0005762		MGI	NCBITaxon:10090	ISO	UniProtKB:Q7Z2W9	PANTHER:PTHR21349	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20161017
MGI:MGI:2660674	mitochondrial ribosomal protein L21		GO:0005762		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR21349	protein_coding_gene		MGI:MGI:6867305|PMID:25278503	20200203
MGI:MGI:2660674	mitochondrial ribosomal protein L21		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR21349	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:2660674	mitochondrial ribosomal protein L21		GO:0005840		UniProt	NCBITaxon:10090	IEA	InterPro:IPR028909|InterPro:IPR001787	PANTHER:PTHR21349	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:2660674	mitochondrial ribosomal protein L21		GO:0005762		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000482432|SGD:S000003632|UniProtKB:Q57UP4|UniProtKB:Q7Z2W9	PANTHER:PTHR21349	protein_coding_gene		GO_REF:0000033	20230111
MGI:MGI:1888676	ribosomal protein S27		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:P42677	PANTHER:PTHR11594	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230705
MGI:MGI:1888676	ribosomal protein S27		GO:0022627		MGI	NCBITaxon:10090	ISO	RGD:621045	PANTHER:PTHR11594	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20080820
MGI:MGI:1888676	ribosomal protein S27		GO:0022627		UniProt	NCBITaxon:10090	IDA		PANTHER:PTHR11594	protein_coding_gene		MGI:MGI:7432473|PMID:36517592	20221220
MGI:MGI:1888676	ribosomal protein S27		GO:0022627		MGI	NCBITaxon:10090	ISO	UniProtKB:P42677	PANTHER:PTHR11594	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20080909
